x,y,measurement,status
-70,-20,202.9,Pass
-70,-10,204.2,Pass
-70,0,204.8,Pass
-70,10,204.1,Pass
-70,20,202.8,Pass
-70,30,201.2,Pass
-70,40,199.4,Pass
-70,50,197.1,Pass
-70,60,194.6,Pass
-70,70,192.1,Pass
-70,80,189.5,Pass
-70,90,186.8,Pass
-70,100,183.9,Fail
-60,-110,180.5,Fail
-60,-100,185.1,Pass
-60,-90,187.9,Pass
-60,-80,190.4,Pass
-60,-70,192.7,Pass
-60,-60,194.9,Pass
-60,-50,196.8,Pass
-60,-40,198.6,Pass
-60,-30,200.3,Pass
-60,-20,201.8,Pass
-60,-10,203.0,Pass
-60,0,203.5,Pass
-60,10,202.9,Pass
-60,20,201.6,Pass
-60,30,200.1,Pass
-60,40,198.3,Pass
-60,50,196.5,Pass
-60,60,194.2,Pass
-60,70,191.8,Pass
-60,80,189.3,Pass
-60,90,186.6,Pass
-60,100,183.8,Fail
-60,110,180.2,Fail
-50,-120,178.4,Fail
-50,-110,183.5,Fail
-50,-100,186.8,Pass
-50,-90,189.4,Pass
-50,-80,191.8,Pass
-50,-70,193.9,Pass
-50,-60,195.8,Pass
-50,-50,197.5,Pass
-50,-40,199.1,Pass
-50,-30,200.6,Pass
-50,-20,201.9,Pass
-50,-10,202.8,Pass
-50,0,203.2,Pass
-50,10,202.7,Pass
-50,20,201.5,Pass
-50,30,200.2,Pass
-50,40,198.6,Pass
-50,50,196.8,Pass
-50,60,194.7,Pass
-50,70,192.4,Pass
-50,80,189.9,Pass
-50,90,187.2,Pass
-50,100,184.4,Fail
-50,110,181.5,Fail
-50,120,178.1,Fail
-40,-130,176.2,Fail
-40,-120,181.9,Fail
-40,-110,185.5,Pass
-40,-100,188.3,Pass
-40,-90,190.8,Pass
-40,-80,193.0,Pass
-40,-70,194.9,Pass
-40,-60,196.6,Pass
-40,-50,198.1,Pass
-40,-40,199.5,Pass
-40,-30,200.7,Pass
-40,-20,201.7,Pass
-40,-10,202.5,Pass
-40,0,202.9,Pass
-40,10,202.4,Pass
-40,20,201.4,Pass
-40,30,200.2,Pass
-40,40,198.8,Pass
-40,50,197.1,Pass
-40,60,195.2,Pass
-40,70,193.0,Pass
-40,80,190.6,Pass
-40,90,188.0,Pass
-40,100,185.1,Pass
-40,110,182.1,Fail
-40,120,178.8,Fail
-30,-130,183.6,Fail
-30,-120,187.4,Pass
-30,-110,190.2,Pass
-30,-100,192.6,Pass
-30,-90,194.7,Pass
-30,-80,196.4,Pass
-30,-70,198.0,Pass
-30,-60,199.3,Pass
-30,-50,200.5,Pass
-30,-40,201.4,Pass
-30,-30,202.2,Pass
-30,-20,202.8,Pass
-30,-10,203.2,Pass
-30,0,203.4,Pass
-30,10,203.1,Pass
-30,20,202.6,Pass
-30,30,201.8,Pass
-30,40,200.8,Pass
-30,50,199.5,Pass
-30,60,198.1,Pass
-30,70,196.3,Pass
-30,80,194.3,Pass
-30,90,192.0,Pass
-30,100,189.4,Pass
-30,110,186.5,Pass
-30,120,183.3,Fail
-20,-140,179.5,Fail
-20,-130,184.9,Fail
-20,-120,188.8,Pass
-20,-110,191.6,Pass
-20,-100,193.8,Pass
-20,-90,195.7,Pass
-20,-80,197.3,Pass
-20,-70,198.7,Pass
-20,-60,199.9,Pass
-20,-50,200.9,Pass
-20,-40,201.7,Pass
-20,-30,202.4,Pass
-20,-20,202.9,Pass
-20,-10,203.2,Pass
-20,0,203.4,Pass
-20,10,203.3,Pass
-20,20,202.9,Pass
-20,30,202.3,Pass
-20,40,201.5,Pass
-20,50,200.4,Pass
-20,60,199.1,Pass
-20,70,197.6,Pass
-20,80,195.8,Pass
-20,90,193.7,Pass
-20,100,191.3,Pass
-20,110,188.6,Pass
-20,120,185.7,Pass
-20,130,182.4,Fail
-10,-140,182.1,Fail
-10,-130,186.5,Pass
-10,-120,190.0,Pass
-10,-110,192.8,Pass
-10,-100,195.0,Pass
-10,-90,196.9,Pass
-10,-80,198.5,Pass
-10,-70,199.8,Pass
-10,-60,200.9,Pass
-10,-50,201.8,Pass
-10,-40,202.5,Pass
-10,-30,203.1,Pass
-10,-20,203.5,Pass
-10,-10,203.7,Pass
-10,0,203.8,Pass
-10,10,203.7,Pass
-10,20,203.4,Pass
-10,30,202.9,Pass
-10,40,202.2,Pass
-10,50,201.2,Pass
-10,60,200.0,Pass
-10,70,198.5,Pass
-10,80,196.8,Pass
-10,90,194.8,Pass
-10,100,192.6,Pass
-10,110,190.0,Pass
-10,120,187.1,Pass
-10,130,184.0,Fail
0,-140,183.4,Fail
0,-130,187.7,Pass
0,-120,191.1,Pass
0,-110,193.8,Pass
0,-100,195.9,Pass
0,-90,197.8,Pass
0,-80,199.4,Pass
0,-70,200.6,Pass
0,-60,201.7,Pass
0,-50,202.6,Pass
0,-40,203.2,Pass
0,-30,203.7,Pass
0,-20,204.0,Pass
0,-10,204.2,Pass
0,0,204.3,Pass
0,10,204.1,Pass
0,20,203.8,Pass
0,30,203.3,Pass
0,40,202.5,Pass
0,50,201.5,Pass
0,60,200.3,Pass
0,70,198.8,Pass
0,80,197.1,Pass
0,90,195.0,Pass
0,100,192.7,Pass
0,110,190.1,Pass
0,120,187.2,Pass
0,130,184.1,Fail
10,-140,183.6,Fail
10,-130,188.0,Pass
10,-120,191.3,Pass
10,-110,193.9,Pass
10,-100,196.0,Pass
10,-90,197.9,Pass
10,-80,199.4,Pass
10,-70,200.7,Pass
10,-60,201.7,Pass
10,-50,202.6,Pass
10,-40,203.3,Pass
10,-30,203.7,Pass
10,-20,204.0,Pass
10,-10,204.2,Pass
10,0,204.3,Pass
10,10,204.1,Pass
10,20,203.8,Pass
10,30,203.3,Pass
10,40,202.5,Pass
10,50,201.5,Pass
10,60,200.3,Pass
10,70,198.7,Pass
10,80,197.0,Pass
10,90,195.0,Pass
10,100,192.7,Pass
10,110,190.0,Pass
10,120,187.1,Pass
10,130,184.0,Fail
20,-140,182.3,Fail
20,-130,187.1,Pass
20,-120,190.5,Pass
20,-110,193.2,Pass
20,-100,195.4,Pass
20,-90,197.3,Pass
20,-80,198.9,Pass
20,-70,200.3,Pass
20,-60,201.4,Pass
20,-50,202.4,Pass
20,-40,203.1,Pass
20,-30,203.6,Pass
20,-20,204.0,Pass
20,-10,204.2,Pass
20,0,204.3,Pass
20,10,204.1,Pass
20,20,203.8,Pass
20,30,203.2,Pass
20,40,202.4,Pass
20,50,201.4,Pass
20,60,200.1,Pass
20,70,198.5,Pass
20,80,196.7,Pass
20,90,194.5,Pass
20,100,192.1,Pass
20,110,189.4,Pass
20,120,186.3,Pass
20,130,183.0,Fail
30,-130,185.9,Pass
30,-120,189.4,Pass
30,-110,192.2,Pass
30,-100,194.5,Pass
30,-90,196.5,Pass
30,-80,198.2,Pass
30,-70,199.7,Pass
30,-60,200.9,Pass
30,-50,201.9,Pass
30,-40,202.7,Pass
30,-30,203.3,Pass
30,-20,203.8,Pass
30,-10,204.1,Pass
30,0,204.2,Pass
30,10,204.0,Pass
30,20,203.6,Pass
30,30,202.9,Pass
30,40,202.1,Pass
30,50,201.0,Pass
30,60,199.6,Pass
30,70,198.0,Pass
30,80,196.1,Pass
30,90,193.8,Pass
30,100,191.3,Pass
30,110,188.5,Pass
30,120,185.4,Pass
40,-120,185.9,Pass
40,-110,188.9,Pass
40,-100,191.5,Pass
40,-90,193.7,Pass
40,-80,195.6,Pass
40,-70,197.3,Pass
40,-60,198.7,Pass
40,-50,199.9,Pass
40,-40,201.0,Pass
40,-30,201.8,Pass
40,-20,202.5,Pass
40,-10,202.9,Pass
40,0,203.1,Pass
40,10,202.9,Pass
40,20,202.5,Pass
40,30,201.9,Pass
40,40,200.9,Pass
40,50,199.7,Pass
40,60,198.3,Pass
40,70,196.5,Pass
40,80,194.4,Pass
40,90,192.0,Pass
40,100,189.3,Pass
40,110,186.4,Pass
40,120,183.0,Fail
50,-120,182.7,Fail
50,-110,185.9,Pass
50,-100,188.8,Pass
50,-90,191.3,Pass
50,-80,193.4,Pass
50,-70,195.3,Pass
50,-60,196.9,Pass
50,-50,198.3,Pass
50,-40,199.5,Pass
50,-30,200.5,Pass
50,-20,201.3,Pass
50,-10,201.9,Pass
50,0,202.2,Pass
50,10,202.1,Pass
50,20,201.8,Pass
50,30,201.1,Pass
50,40,200.2,Pass
50,50,199.0,Pass
50,60,197.5,Pass
50,70,195.7,Pass
50,80,193.6,Pass
50,90,191.3,Pass
50,100,188.6,Pass
50,110,185.7,Pass
50,120,182.3,Fail
60,-110,183.3,Fail
60,-100,186.6,Pass
60,-90,189.5,Pass
60,-80,192.0,Pass
60,-70,194.2,Pass
60,-60,196.0,Pass
60,-50,197.6,Pass
60,-40,199.0,Pass
60,-30,200.1,Pass
60,-20,201.0,Pass
60,-10,201.7,Pass
60,0,202.1,Pass
60,10,201.9,Pass
60,20,201.5,Pass
60,30,200.8,Pass
60,40,199.8,Pass
60,50,198.5,Pass
60,60,197.0,Pass
60,70,195.1,Pass
60,80,192.9,Pass
60,90,190.4,Pass
60,100,187.6,Pass
60,110,184.6,Fail
70,-100,184.6,Fail
70,-90,188.0,Pass
70,-80,190.7,Pass
70,-70,193.0,Pass
70,-60,194.9,Pass
70,-50,196.6,Pass
70,-40,198.0,Pass
70,-30,199.2,Pass
70,-20,200.1,Pass
70,-10,200.8,Pass
70,0,201.2,Pass
70,10,201.1,Pass
70,20,200.7,Pass
70,30,199.9,Pass
70,40,198.9,Pass
70,50,197.6,Pass
70,60,196.0,Pass
70,70,194.1,Pass
70,80,191.8,Pass
70,90,189.2,Pass
70,100,186.3,Pass
80,-90,186.3,Pass
80,-80,189.3,Pass
80,-70,191.8,Pass
80,-60,193.9,Pass
80,-50,195.8,Pass
80,-40,197.3,Pass
80,-30,198.6,Pass
80,-20,199.7,Pass
80,-10,200.5,Pass
80,0,200.9,Pass
80,10,200.8,Pass
80,20,200.4,Pass
80,30,199.7,Pass
80,40,198.7,Pass
80,50,197.4,Pass
80,60,195.7,Pass
80,70,193.7,Pass
80,80,191.4,Pass
80,90,188.7,Pass
90,-80,185.5,Pass
90,-70,188.6,Pass
90,-60,191.2,Pass
90,-50,193.4,Pass
90,-40,195.2,Pass
90,-30,196.8,Pass
90,-20,198.1,Pass
90,-10,199.1,Pass
90,0,199.7,Pass
90,10,199.6,Pass
90,20,199.2,Pass
90,30,198.5,Pass
90,40,197.4,Pass
90,50,196.0,Pass
90,60,194.3,Pass
90,70,192.2,Pass
90,80,189.8,Pass
100,-70,187.6,Pass
100,-60,190.4,Pass
100,-50,192.8,Pass
100,-40,194.8,Pass
100,-30,196.5,Pass
100,-20,197.9,Pass
100,-10,199.0,Pass
100,0,199.6,Pass
100,10,199.5,Pass
100,20,199.1,Pass
100,30,198.3,Pass
100,40,197.1,Pass
100,50,195.6,Pass
100,60,193.7,Pass
100,70,191.5,Pass
110,-60,188.5,Pass
110,-50,191.3,Pass
110,-40,193.5,Pass
110,-30,195.4,Pass
110,-20,196.9,Pass
110,-10,198.1,Pass
110,0,198.7,Pass
110,10,198.6,Pass
110,20,198.1,Pass
110,30,197.3,Pass
110,40,196.1,Pass
110,50,194.6,Pass
110,60,192.6,Pass
120,-50,189.7,Pass
120,-40,192.1,Pass
120,-30,194.1,Pass
120,-20,195.7,Pass
120,-10,196.9,Pass
120,0,197.5,Pass
120,10,197.4,Pass
120,20,196.9,Pass
120,30,195.9,Pass
120,40,194.6,Pass
120,50,193.0,Pass
130,-30,191.4,Pass
130,-20,193.2,Pass
130,-10,194.6,Pass
130,0,195.3,Pass
130,10,195.1,Pass
130,20,194.5,Pass
130,30,193.5,Pass
140,-10,192.7,Pass
140,0,193.3,Pass
140,10,192.6,Pass
